flow_title,flow_notes,flow_account_name,flow_amount,flow_date_of_transaction,flow_time_of_transaction_optional,flow_date_of_transaction_iso_8601,flow_category_optional
Saldo inicial,,Principal,2100000.00,2026-03-14,09:00:00,,
Saldo inicial,,Efectivo,68500.00,2026-03-14,09:00:00,,
Saldo inicial,,Ahorros,1800000.00,2026-03-14,09:00:00,,
Saldo inicial,,Dólares,2400.00,2026-03-14,09:00:00,,
Ninina,,Principal,-9200.00,2026-03-14,10:36:47,,Bebidas
Starbucks,,Principal,-8100.00,2026-03-15,11:02:29,,Bebidas
Jumbo,,Principal,-94308.00,2026-03-16,16:58:28,,Compra
Panadería,,Efectivo,-8001.00,2026-03-16,16:59:00,,Aperitivos
Shell,,Principal,-56494.00,2026-03-16,18:00:44,,Gasolina
Ninina,,Efectivo,-9200.00,2026-03-18,08:56:06,,Bebidas
Personal móvil,,Principal,-28400.00,2026-03-18,09:45:00,,Suministros
BA Taxi,,Principal,-16774.00,2026-03-18,13:39:45,,Transporte
Havanna café,,Principal,-7400.00,2026-03-19,10:22:35,,Bebidas
Guerrín,,Principal,-52897.00,2026-03-19,12:02:17,,Comer fuera
SUBE subte,,Principal,-2052.00,2026-03-19,20:35:31,,Transporte
Extracción efectivo,,Principal,-40000.00,2026-03-20,13:09:50,,
Extracción efectivo,,Efectivo,40000.00,2026-03-20,13:09:50,,
Edenor luz,,Principal,-56517.00,2026-03-20,14:10:00,,Suministros
Starbucks,,Principal,-8100.00,2026-03-21,09:36:02,,Bebidas
Burger King,,Principal,-29361.00,2026-03-21,19:03:27,,Comer fuera
Disco,,Principal,-57637.00,2026-03-21,19:52:38,,Compra
Colectivo,,Efectivo,-1730.00,2026-03-21,23:15:22,,Transporte
AySA agua,,Principal,-18500.00,2026-03-22,13:00:00,,Suministros
Jumbo,,Principal,-78658.00,2026-03-22,13:31:58,,Compra
BA Taxi,,Principal,-9472.00,2026-03-23,07:14:58,,Transporte
Guerrín,,Efectivo,-26342.00,2026-03-24,15:32:56,,Comer fuera
Kiosco,,Principal,-4157.00,2026-03-24,16:24:51,,Aperitivos
Colectivo,,Efectivo,-2043.00,2026-03-24,21:51:36,,Transporte
Havanna café,,Principal,-7400.00,2026-03-25,08:18:29,,Bebidas
Sueldo,,Principal,3179904.93,2026-03-25,09:15:00,,Nómina
Extracción cajero,,Principal,-80000.00,2026-03-25,12:30:00,,
Extracción cajero,,Efectivo,80000.00,2026-03-25,12:30:00,,
Ahorro mensual,,Principal,-200000.00,2026-03-25,12:35:00,,
Ahorro mensual,,Ahorros,200000.00,2026-03-25,12:35:00,,
Uber,,Principal,-9904.00,2026-03-25,14:42:55,,Transporte
Siga la Vaca,,Principal,-41224.00,2026-03-25,17:01:32,,Comer fuera
SUBE subte,,Principal,-1350.00,2026-03-26,09:51:15,,Transporte
Axion,,Principal,-47347.00,2026-03-26,12:13:04,,Gasolina
Rappi,,Efectivo,-53461.00,2026-03-26,21:59:43,,Comer fuera
Starbucks,,Principal,-8100.00,2026-03-27,08:29:24,,Bebidas
Extracción efectivo,,Principal,-40000.00,2026-03-27,13:31:04,,
Extracción efectivo,,Efectivo,40000.00,2026-03-27,13:31:04,,
Uniqlo,,Principal,-22446.00,2026-03-27,18:14:11,,Compras
SUBE subte,,Efectivo,-1416.00,2026-03-27,18:40:53,,Transporte
Rappi,,Principal,-27161.00,2026-03-27,19:09:04,,Comer fuera
Cuervo café,,Efectivo,-5800.00,2026-03-28,10:43:43,,Bebidas
Coto,,Principal,-52431.00,2026-03-28,19:36:34,,Compra
Mostaza,,Efectivo,-43070.00,2026-03-28,20:45:36,,Comer fuera
Havanna café,,Principal,-7400.00,2026-03-29,11:19:01,,Bebidas
BA Taxi,,Principal,-17627.00,2026-03-29,16:18:27,,Transporte
Starbucks,,Efectivo,-8100.00,2026-03-30,11:50:19,,Bebidas
Día,,Principal,-49156.00,2026-03-30,12:55:08,,Compra
Uber,,Principal,-16885.00,2026-03-30,15:46:08,,Transporte
Easy,,Principal,-36362.00,2026-03-30,18:46:33,,Compras
Starbucks,,Principal,-8100.00,2026-03-31,11:10:38,,Bebidas
SUBE subte,,Principal,-2372.00,2026-03-31,16:50:23,,Transporte
Día,,Principal,-68856.00,2026-03-31,17:18:47,,Compra
Alquiler departamento,"Palermo, CABA",Principal,-850000.00,2026-04-01,08:15:00,,Alquiler
Starbucks,,Efectivo,-8100.00,2026-04-01,08:17:50,,Bebidas
Smart Fit,,Principal,-55000.00,2026-04-01,08:20:00,,Fitness
Coto,,Principal,-57510.00,2026-04-01,13:06:40,,Compra
Uber,,Principal,-12880.00,2026-04-01,22:03:11,,Transporte
iCloud+,,Principal,-2499.00,2026-04-02,00:05:12,,Suscripciones online
Colectivo,,Principal,-2121.00,2026-04-02,07:55:06,,Transporte
Ninina,,Principal,-9200.00,2026-04-02,11:14:07,,Bebidas
Havanna café,,Principal,-7400.00,2026-04-03,11:15:18,,Bebidas
Extracción efectivo,,Principal,-40000.00,2026-04-03,12:06:29,,
Extracción efectivo,,Efectivo,40000.00,2026-04-03,12:06:29,,
Cabify,,Principal,-14698.00,2026-04-03,12:20:03,,Transporte
Starbucks,,Principal,-8100.00,2026-04-04,10:23:16,,Bebidas
Libros Gandhi,,Principal,-42923.00,2026-04-04,16:51:52,,Aficiones
Netflix,,Principal,-12999.00,2026-04-05,00:08:40,,Suscripciones online
Café Martínez,,Efectivo,-6200.00,2026-04-05,09:52:42,,Bebidas
Fibertel internet,,Principal,-45000.00,2026-04-06,10:00:00,,Suministros
Guerrín,,Principal,-19870.00,2026-04-06,12:08:41,,Comer fuera
BA Taxi,,Efectivo,-9651.00,2026-04-06,19:46:23,,Transporte
Starbucks,,Principal,-8100.00,2026-04-07,09:06:32,,Bebidas
Partido River,,Principal,-42000.00,2026-04-07,16:28:11,,Entretenimiento
Cabify,,Efectivo,-9647.00,2026-04-07,18:24:52,,Transporte
Café Martínez,,Efectivo,-6200.00,2026-04-08,09:57:06,,Bebidas
Spotify,,Principal,-7999.00,2026-04-09,00:03:21,,Suscripciones online
Café Martínez,,Principal,-6200.00,2026-04-09,10:16:04,,Bebidas
Cabify,,Efectivo,-18400.00,2026-04-09,18:13:49,,Transporte
Starbucks,,Efectivo,-8100.00,2026-04-10,09:55:00,,Bebidas
Donación mensual,Cruz Roja Argentina,Principal,-8000.00,2026-04-10,11:30:00,,Donaciones
Extracción efectivo,,Principal,-40000.00,2026-04-10,12:07:00,,
Extracción efectivo,,Efectivo,40000.00,2026-04-10,12:07:00,,
BA Taxi,,Principal,-7600.00,2026-04-10,12:09:54,,Transporte
OSDE copago,,Principal,-14037.00,2026-04-10,15:06:40,,Salud
